id,states,states_code,state_abbv,year,population
10,Delaware,DE,DE,2019,973764
11,District of Columbia,DC,,2019,705749
12,Florida,FL,FL,2019,21477737
13,Georgia,GA,GA,2019,10617423
15,Hawaii,HI,HI,2019,1415872
16,Idaho,ID,ID,2019,1787065
17,Illinois,IL,IL,2019,12671821
18,Indiana,IN,IN,2019,6732219
19,Iowa,IA,IA,2019,3155070
20,Kansas,KS,KS,2019,2913314
21,Kentucky,KY,KY,2019,4467673
22,Louisiana,LA,LA,2019,4648794
23,Maine,ME,ME,2019,1344212
24,Maryland,MD,MD,2019,6045680
25,Massachusetts,MA,MA,2019,6892503
26,Michigan,MI,MI,2019,9986857
27,Minnesota,MN,MN,2019,5639632
28,Mississippi,MS,MS,2019,2976149
29,Missouri,MO,MO,2019,6137428
30,Montana,MT,MT,2019,1068778
31,Nebraska,NE,NE,2019,1934408
32,Nevada,NV,NV,2019,3080156
33,New Hampshire,NH,NH,2019,1359711
34,New Jersey,NJ,NJ,2019,8882190
35,New Mexico,NM,NM,2019,2096829
36,New York,NY,NY,2019,19453561
37,North Carolina,NC,NC,2019,10488084
38,North Dakota,ND,ND,2019,762062
39,Ohio,OH,OH,2019,11689100
40,Oklahoma,OK,OK,2019,3956971
41,Oregon,OR,OR,2019,4217737
42,Pennsylvania,PA,PA,2019,12801989
44,Rhode Island,RI,RI,2019,1059361
45,South Carolina,SC,SC,2019,5148714
46,South Dakota,SD,SD,2019,884659
47,Tennessee,TN,TN,2019,6829174
48,Texas,TX,TX,2019,28995881
49,Utah,UT,UT,2019,3205958
50,Vermont,VT,VT,2019,623989
51,Virginia,VA,VA,2019,8535519
53,Washington,WA,WA,2019,7614893
54,West Virginia,WV,WV,2019,1792147
55,Wisconsin,WI,WI,2019,5822434
56,Wyoming,WY,WY,2019,578759
72,Puerto Rico,PR,PR,2019,3193694
